PROJECT,DATE,SITE,SAMPLE,SAMPLE_DESCRIPTOR,OM.AREA.g.m2,ASH.AREA.g.m2,PHICOCYANIN.MG.M2,TOTAL.MG.M2.RITCHIE
LTREB,7/20/2021,GC,4,EPIP,1.890568046,2.946339811,1.748161621,4.667908261
LTREB,7/20/2021,GC,5,EPIP,4.499014125,20.18476607,9.50872715,11.78535901
LTREB,7/20/2021,BG,1,EPIP,15.22275569,76.4645332,20.95408814,47.33249239
LTREB,7/20/2021,BN,3,EPIP,6.510007964,27.49917157,35.07547395,53.31052481
LTREB,7/20/2021,BN,4,EPIP,23.8700292,144.0339262,36.24582559,122.9525817
LTREB,7/20/2021,BN,5,EPIP,13.65137446,67.86402699,27.72996819,96.8914665
LTREB,8/3/2021,BN,1,EPIP,5.145572028,30.36834534,6.010533215,14.12006364
LTREB,8/3/2021,BN,3,EPIP,0.860518294,4.490829848,1.784768724,5.914483952
LTREB,8/3/2021,WS,1,EPIP,0.32269436,0.98211327,0.508594372,1.365092199
LTREB,8/3/2021,WS,3,EPIP,0.421490279,0.740677091,0.748042941,1.879653862
LTREB,8/3/2021,GC,3,EPIP,0.336139959,0.847072696,0.074192812,2.727895699
LTREB,8/3/2021,BG,1,EPIP,0.589267962,1.814571185,0.569625697,1.483623426
LTREB,8/3/2021,BG,2,EPIP,1.021865474,2.221446683,1.903557663,6.231492719
LTREB,8/3/2021,BG,5,EPIP,0.619666706,1.543320854,1.367943484,3.585543089
LTREB,8/3/2021,BN,5,EPIP,117.9062057,62.22038323,28.07967067,74.5037362
LTREB,8/17/2021,WS,1,EPIP,1.800540996,5.869295974,NA,NA
LTREB,8/17/2021,GC,3,EPIP,3.226943603,8.282488581,7.873742391,13.02518084
LTREB,8/17/2021,GC,4,EPIP,5.313934303,15.31044438,7.976162775,12.88851675
LTREB,8/17/2021,GC,6,EPIP,3.739045523,6.383736258,9.165221342,5.731112309
LTREB,8/17/2021,GC,7,EPIP,4.714143698,20.28765413,13.94881448,20.92890647
LTREB,8/17/2021,BG,1,EPIP,25.91492933,131.5681028,43.49358769,11.0038795
LTREB,8/17/2021,BG,2,EPIP,7.721280998,51.61706746,9.843113335,15.29906077
LTREB,8/17/2021,BG,3,EPIP,23.10304551,165.6123578,27.51694315,88.83749521
LTREB,8/17/2021,BG,4,EPIP,19.25877356,146.339554,20.3098686,43.54973717
LTREB,8/17/2021,BG,5,EPIP,29.00040186,183.9883986,29.67069417,121.029574
LTREB,8/17/2021,BG,6,EPIP,2.689119669,13.73789396,4.559811613,7.906850716
LTREB,8/17/2021,BG,7,EPIP,12.67978383,92.91493048,10.01229404,4.430776836
DRONE,9/9/2021,GC,1,EPIP,1.818663324,3.352046127,7.920100476,16.54080997
DRONE,9/9/2021,GC,2,EPIP,1.758450427,3.32983166,1.76705561,7.431752509
DRONE,9/9/2021,GC,3,EPIP,17.70726843,90.66425424,36.15930609,42.71682665
DRONE,9/9/2021,GC,4,EPIP,7.99720806,48.15161063,7.841472955,14.38327165
DRONE,9/9/2021,GC,5,EPIP,2.932309622,9.463362871,5.434769311,14.82391542
DRONE,9/9/2021,GC,6,EPIP,4.054724788,24.48735754,4.193062457,8.245418412
DRONE,9/9/2021,GC,7,EPIP,1.206596304,2.806037916,1.571381233,4.154576806
